Provinsi,Laki-laki,perempuan,Jumlah
Aceh,28,97,125
Bali,20,5,25
Banten,39,114,153
Bengkulu,9,16,25
D.I Yogyakarta,22,29,51
DKI Jakarta,11,6,17
Jambi,13,13,26
Jawa Barat,139,321,510
Jawa Tengah,188,217,405
Jawa Timur,70,204,274
Kalimantan Barat,1,24,25
Kalimantan Selatan,23,27,50
Kalimantan Timur,15,110,125
Kep. Bangka Belitung,17,33,50
Lampung,0,1,1
Maluku,8,92,100
Nusa Tenggara Barat,14,61,75
Nusa Tenggara Timur,14,36,50
Papua Barat,11,189,200
Sulawesi Selatan,92,233,325
Sulawesi Tengah,3,22,25
Sulawesi Tenggara,16,59,75
Sumatera Barat,30,21,51
Sumatera Utara,31,60,91